"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"3 days ago","they got bullyed so hard they removed the dislike button","6","@l1lj0hn86","false","false","false","false","","false",""
"12 days ago","this is a piece of dogshit","6","@Awakener635","false","false","false","false","","false",""
"11 days ago","Newgen","0","@KirbyPlushStudiosr6210","true","false","false","false","","false",""
"11 days ago"," @KirbyPlushStudiosr6210  ????","0","@Awakener635","true","false","false","false","","false",""
"13 days ago","We watchin this sht 2024 👁👄👁","6","@KasperPlayGames","false","false","false","false","","false",""
"3 weeks ago","Who is here in 2024? 👇","6","@BRUUUUUUUUUUUUUUUHH","false","false","false","false","","false",""
"3 weeks ago","the dislikes 😅","6","@AustraliaDoesntExist","false","false","false","false","","false",""
"3 weeks ago","Ikr","1","@dievogorytobing9547","true","false","false","false","","false",""
"3 weeks ago","they are goneee","1","@Darling_girl_","true","false","false","false","","false",""
"16 hours ago","crazy that they removed disikes because of this","5","@xenomorph_636","false","false","false","false","","false",""
"12 days ago","How did this get 20 million dislikes? This makes no sense!","5","@RobertBloxs","false","false","false","false","","false",""
"12 days ago","Dislike botters","0","@Toilets_Of_Georgia_official","true","false","false","false","","false",""
"12 days ago","Oh yeah really hard to tell why","0","@GameSpuds","true","false","false","false","","false",""
"2 weeks ago","dang 20m dislikes","5","@xRachelXTiarax","false","false","false","false","","false",""
"2 weeks ago","The most disliked video in youtube is a video from YouTube themselves 😂😂😂","5","@Idontknow73748","false","false","false","false","","false",""
"3 weeks ago","The most controversial and cringiest rewind. Youtube, you are so disappointing👎🏻","5","@samanthamae11","false","false","false","false","","false",""
"1 month ago","happy 20 million dislikes 🥳🥳","5","@TheInfamousMelon7","false","false","false","false","","false",""
"1 month ago","20M dislikes is crazy💀","5","@Donkeygreenscreen","false","false","false","false","","false",""
"1 month ago","20 million dislikes is crazy","5","@Technoblade_neverdies_o7","false","false","false","false","","false",""
"1 month ago","tbh this is just exactly what 2018 was so it isnt that bad lol","5","@benmfitz","false","false","false","false","","false",""
"1 month ago","Dislike","5","@Ruanmano","false","false","false","false","","false",""
"1 month ago","2024 anyone?","5","@alright5041","false","false","false","false","","false",""
"1 month ago","0:09","0","@MrClaude-km5uc","true","false","false","false","","false",""
"1 month ago","People watching in April 2024 👇","5","@roaringlions9145","false","false","false","false","","false",""
"1 month ago","Is it just me or is this video not as bad as people make it seem, like only a few parts are bad most are good? Someone explain?","5","@generaleditz1","false","false","false","false","","false",""
"1 month ago (edited)","gen alphas may be more appealed to these kinda videos. but in 2018 millenials and most zoomers agreed that it was cringe. also no pewdiepie again edit: to see what a better version of a 2018 rewind would look like, watch pewdiepies video: youtube rewind, but its actually good","0","@santiagogalf","true","false","false","false","","false",""
"6 days ago","People who are watching in 2024👇","4","@shilpapuri-rg5lj","false","false","false","false","","false",""
"5 days ago","Me","1","@prasantadeb6256","true","false","false","false","","false",""
"12 days ago","Worst YouTube video ever in the world","4","@danielmclane9652","false","false","false","false","","false",""
"11 days ago","Newgen","0","@KirbyPlushStudiosr6210","true","false","false","false","","false",""
"13 days ago","Este es el famoso video de youtube con los 22 millones de dislike. No esperaba menos con la serie de estupideces que se ven el video.","4","@ArcangelGabriel-gp4ii","false","false","false","false","","false",""
"2 weeks ago","Most horrible video ever","4","@juliegallagher7433","false","false","false","false","","false",""
"2 weeks ago","20million dislikes","4","@DrippyDrizzleV","false","false","false","false","","false",""
"2 weeks ago","2024 anyone?👇👇👇","4","@KristianMorin","false","false","false","false","","false",""
"2 weeks ago","20m dislikes 🥰","4","@luciiann.","false","false","false","false","","false",""
"2 weeks ago","Came here just to dislike.","4","@opiedrums6969","false","false","false","false","","false",""
"2 weeks ago","Dude 20M dislikes","4","@AaditplayzThis","false","false","false","false","","false",""
"2 weeks ago","Thx for the information","0","@Golpedokiwify","true","false","false","false","","false",""
"2 weeks ago","gave it a rewatch and the cringe literally gave me tears","4","@viditgautam4708","false","false","false","false","","false",""
"3 weeks ago","Wow 3.5 million likes and 0 dislikes! This video must be. Masterpiece can’t wait to watch it 😊","4","@WarpedMCYT","false","false","false","false","","false",""
"2 weeks ago","Haha no. Odd1s and Jaiden shoulda been here more","1","@Crest3217","true","false","false","false","","false",""
"3 weeks ago","20 million dislikes 3.1m likes is crazy","4","@777noxy","false","false","false","false","","false",""
"3 weeks ago","Who else is here from 2028 to celebrate the 10 year anniversary of the most disliked YouTube video of all time?","4","@thebackwardsmanthebackward6087","false","false","false","false","","false",""
"3 weeks ago","What? It’s 2024","0","@alescuplays","true","false","false","false","","false",""
"4 weeks ago","Why doesn't anyone like it? It was the best thing I've ever seen.","4","@user-uk9rb8px8c","false","false","false","false","","false",""
"1 month ago (edited)","For anyone wondering there is 20,424,375 dislikes as of 5/5/2024 at 1:07 PM Central Daylight Time (using chrome extention)","4","@SMGG77Aviation","false","false","false","false","","false",""
"1 month ago","I'm ngl this rewind wasn't that bad","4","@oliviajeffreys382","false","false","false","false","","false",""
"1 month ago","Cringe","4","@Lexbenzak15","false","false","false","false","","false",""
"1 month ago","20M dislikes currently!!","4","@mathewvincent692","false","false","false","false","","false",""
"1 month ago","20m dislikes 💀💀💀","4","@xrexyofficial","false","false","false","false","","false",""
"1 month ago","Who is here in later years without yt rewind? This wanst that bad tbh","4","@simonhaugenkolstad8561","false","false","false","false","","false",""
"1 month ago","20M Dislikes is crazy","4","@Shadow69X9","false","false","false","false","","false",""
"9 days ago","There's nothing to hate this","3","@amitavabhattacharya8947","false","false","false","false","","false",""
"9 days ago","2024 anymone","3","@-Flixy-gt","false","false","false","false","","false",""
"13 days ago","People of the future: this has 3.1M likes, 20M dislikes. Never forget","3","@HistoryBitesss","false","false","false","false","","false",""
"2 weeks ago","3.1m likes - 20m dislikes is a pretty big diffrence","3","@AnthonyUA.","false","false","false","false","","false",""
"2 weeks ago","Ok now this has 20M dislikes gawd","3","@WillowCamilla-iv7ku","false","false","false","false","","false",""
"2 weeks ago","vanced ?","0","@lovemakesuweak.","true","false","false","false","","false",""
"2 weeks ago","be honest, how many of you disliked it just because you knew it was the most disliked video on the platform","3","@SimplyUnprofessional","false","false","false","false","","false",""
"2 weeks ago","why is this so disliked","3","@Phendet","false","false","false","false","","false",""
"2 weeks ago","Great now it has 20.4 Million dislikes and the comments are still open","3","@1650tigameplay","false","false","false","false","","false",""
"2 weeks ago (edited)","The Only Reason I’m Here Is From TheOdd1sOut","3","@VonWasHere13","false","false","false","false","","false",""
"2 weeks ago","Same thing pal","2","@gabrielsangiorgio6304","true","false","false","false","","false",""
"3 weeks ago","This is beyond cringe","3","@jadenkyler5832","false","false","false","false","","false",""
"3 weeks ago","BRO 20M DISLIKES IS CRAZY MY MAN","3","@PackEditza","false","false","false","false","","false",""
"3 weeks ago","since youtube removed the dislike count illl tell you how many dislikes this video currently have.  this video has 20 mi dislikes","3","@rafaelsantana6096","false","false","false","false","","false",""
"3 weeks ago","Will smith being happy 😂😂😂 weidd","3","@imnugget8085","false","false","false","false","","false",""
"3 weeks ago","This is the most disliked video","3","@Opt1mumNugget","false","false","false","false","","false",""
"3 weeks ago","This is the definition of cringe 😬","3","@benjaminattwell1430","false","false","false","false","","false",""
"3 weeks ago","3.1Mn Like 😶  20Mn Dislike:face-fuchsia-tongue-out:","3","@Caelians","false","false","false","false","","false",""
"3 weeks ago","Is there a reason why people hate this video so much? Like 1 million dislikes please tell me why people hate this video.","3","@Lukagalaxygamer1234","false","false","false","false","","false",""
"3 weeks ago","Yea","0","@ycn3395","true","false","false","false","","false",""
"3 weeks ago","Because it's Corporate Garbage","1","@l0sts0ul89","true","false","false","false","","false",""
"3 weeks ago"," @l0sts0ul89  well summarized","0","@autoplusservice1983","true","false","false","false","","false",""
"3 weeks ago","Because it didn't represent in any kind of way what the youtube in the year of 2018 was, that was the objective... So it was just a stupid joke, irrelevant people that no one cared about.","0","@GamerSliting","true","false","false","false","","false",""
"3 weeks ago","looking back my opinion has not changed","3","@buff9267","false","false","false","false","","false",""
"4 weeks ago","This is the most disliked video in YouTube","3","@DerrickPopstar-ej1so","false","false","false","false","","false",""
"4 weeks ago","3.1 million likes, yay! 20 million dislikes","3","@Theuncommonroach","false","false","false","false","","false",""
"1 month ago","This is why YouTube removed dislikes","3","@Wheastan","false","false","false","false","","false",""
"4 weeks ago","Fr, they were mad that Rewind 2018 was bad","0","@TheRealLegoDocOck","true","false","false","false","","false",""
"1 month ago","20 million dislikes... that's wild","3","@nazar_the_meme_guy","false","false","false","false","","false",""
"1 month ago","2nd May, 2024 :  3,159,625 likes VS 20,423,229  Still one of the biggest cringiest, wokest, trash rubbish videos ever created. And since my comment 2 months ago - there's been 8,748 likes vs 56,551 dislikes.","3","@Disillusioned2022","false","false","false","false","","false",""
"1 month ago","so this is why youtube removed dislikes","3","@FishCncrt","false","false","false","false","","false",""
"1 month ago","sorry this aint gonna be the most disliked video no more, its gonna be karma by jojo siwa.","3","@ZipsterOrChip","false","false","false","false","","false",""
"1 month ago","6:33 the worst song in the world","3","@no.name1","false","false","false","false","","false",""
"1 month ago","20M dislikes","3","@mickell555","false","false","false","false","","false",""
"1 month ago","This was good, it deserves a dislike","3","@jhorwynmayan","false","false","false","false","","false",""
